date_l,0,1,2,3,4,5,6,7,8,9,sleep_score
08-12-2019,246313.4018,-251.2130686,22.41505309,85.18453052,-34.92435811,-3.73986662,20.66845835,0.056278754,-17.84526136,-18.37261914,80
09-12-2019,-127817.0587,-128.768614,15.19024238,-2.755633314,-73.51714428,32.34302649,12.28174111,22.29388495,22.064893,-4.016287578,62
10-12-2019,-408535.3492,53.24811538,-27.15548598,-78.10930312,-64.90810637,-77.64347767,8.083456937,19.15779557,4.375679669,-20.23634426,78
11-12-2019,-247430.8432,-188.5835566,76.8607346,63.00296758,40.67117273,-85.54016049,37.68528555,-40.34493584,8.44720012,5.933617404,76
12-12-2019,-172830.7663,-158.5163055,32.07178002,-242.6928985,-82.83470417,18.336351,-5.842648463,84.24671804,-7.800925647,-11.10808677,53
13-12-2019,247716.3649,-327.4453419,-108.6760372,-20.5390879,-95.72109641,10.77823778,-22.75145159,33.99275071,-1.411927236,21.71421025,68
14-12-2019,204952.6429,-281.1799723,-114.3877558,78.24422971,-68.6704322,38.62767091,-14.31042046,-4.014316426,2.106217247,-6.473396907,71
15-12-2019,696769.8583,-424.4393527,-158.1778487,41.58964006,-51.29079041,67.54784172,40.35650636,-6.721653993,10.13358873,-6.042465416,74
16-12-2019,-191560.3239,-154.6998609,10.11287511,-9.850186458,-22.56640194,-27.3658151,-26.5602005,-21.27180481,30.61312057,-11.25338351,75
17-12-2019,-24165.8302,-100.2310276,9.846965162,-92.84743358,-53.32105592,-37.29568197,-24.25113795,13.47498938,19.99021389,15.89217762,66
18-12-2019,151163.6189,-337.3928624,-113.6456939,-70.03248231,-16.63364381,10.78380983,26.85978903,34.86306835,-1.466261222,-7.174211682,68
19-12-2019,494824.4545,-348.6395245,-245.0291816,-82.6554451,-82.32995779,32.70493535,17.27600255,40.59603202,2.904250218,-10.77748913,71
20-12-2019,25938.66604,-173.594744,3.716515715,-145.6967662,-118.0059211,-24.52123046,-27.49492817,47.30130502,4.09587601,-17.40251257,65
