0,1,2,3,4,5,6,7,8,9,sleep_score
-29716.812,26.260498,183.90195,-191.23462,28.111542,-138.31973,9.611153,-33.660805,-6.205944,24.75647,66.29947
61582.188,-100.23599,-67.2048,-63.65222,5.1120453,-102.23964,8.236137,-1.7963333,6.566654,11.270596,72.32872
-347637.38,-309.1277,-162.61012,232.28867,-55.700798,64.11659,-56.24641,-37.71106,-19.803879,6.3398094,74.269295
-75634.5,-226.52914,-86.022095,-68.34927,-23.771538,-104.86666,-27.1708,-25.899551,-5.487747,9.070866,74.96368
-340416.06,-173.23062,65.40799,-69.62918,-23.440826,-148.42279,-26.18917,-63.191936,-19.332706,32.76098,69.316696
-253767.44,-124.180115,-117.73184,113.82651,-5.5364456,50.02147,-28.966652,-13.170021,-9.355606,4.957676,73.03162
307330.3,-108.493774,-133.47961,-39.068176,-20.727547,65.234055,-19.824272,40.7377,7.3727226,-18.62902,75.07739
-358107.62,-331.95728,-176.73064,83.9581,-68.68977,-66.617905,-60.28411,-52.88172,-21.070229,24.738586,77.66639
-33545.062,-134.27972,-102.14331,65.064545,11.880066,-37.091843,-0.21376038,4.8003235,7.0980873,-4.5746,72.80268
-378993.38,-301.30185,-108.25647,64.74777,-68.26081,-24.362808,-64.64667,-59.24572,-28.247852,26.226082,75.04155
-351262.47,-143.60547,-39.285187,104.812164,-33.920265,2.7747192,-41.016983,-44.905632,-21.090378,20.80613,69.76737
367381.25,121.1499,-4.9575806,-87.837036,81.84984,-13.635941,50.0924,53.693176,24.758663,-15.065605,70.75169
220240.44,-173.03519,-165.71577,-65.265015,-12.600571,-34.022827,-18.108315,27.745224,11.434719,-15.778664,76.42044
379986.7,153.09503,-60.515015,-39.874725,73.494415,43.694107,44.843163,72.01018,28.462261,-21.920666,71.25859
-77698.19,-70.854675,26.674408,-16.952332,25.001434,-69.10765,-6.838745,-19.081856,-0.79515076,-0.19382095,70.931114
261174.56,95.30322,-7.9448853,7.5387573,78.40085,97.465164,16.329987,55.27028,18.54321,-29.609528,71.660324
-127612.78,-139.43259,-15.982727,-33.246857,-15.905884,-16.678146,-35.08876,-27.136383,-12.93185,6.0170555,73.24639
-287486.88,-460.04095,-322.8468,151.35751,-100.17825,11.146622,-81.13617,-30.682602,-19.936337,0.0711174,82.112045
-59447.5,-164.86615,-133.43484,27.936646,-2.9967957,5.026474,-23.13536,2.544159,2.1157722,-8.403778,75.84394
-99465.19,-27.177551,30.761597,52.08203,54.534912,21.44194,3.1526184,-4.5781555,-0.5557709,-7.9584694,69.63156
-324482.03,-445.93427,-310.08105,108.7413,-95.120056,-2.5814972,-79.70033,-41.03232,-23.08757,6.657257,81.39089
-213586.88,-21.150818,138.4849,-77.57303,33.40648,-81.60104,-14.985939,-41.612564,-12.883835,15.240265,68.52811
-417403.62,-318.77988,-150.24704,38.710846,-71.31357,-108.11108,-60.059414,-67.19331,-28.726604,29.585,74.02677
-79556.19,39.18567,28.18393,-0.8612671,71.18085,-6.991989,10.295082,-0.68253326,2.6157532,-11.597332,69.35371
384072.56,136.94067,87.39276,-113.25925,76.792114,-4.500595,32.35961,40.81569,18.074566,-18.996758,69.206474
84477.25,166.28699,42.876038,44.35971,65.088776,82.19826,8.039139,24.238663,6.4629784,-16.142605,68.77058
-292009.53,-156.73926,0.4935913,-59.441986,-33.005768,-102.20132,-34.253166,-53.56475,-20.680714,26.950966,69.823265
-339125.34,-292.2259,-97.30472,53.295532,-55.909523,-95.10311,-47.678104,-56.13141,-20.627373,27.25869,73.67769
135608.06,0.12670898,-91.43271,118.82114,45.353333,90.78438,15.701721,46.911713,15.0648,-19.067373,71.67378
148918.25,-163.31058,-95.1225,-96.33505,-10.793503,-24.664322,-25.065842,6.718994,-0.07362366,-12.625652,75.10914
42574.062,46.72455,89.66766,-124.26514,56.191986,-98.54114,20.007805,-9.686539,0.6016426,5.7676697,68.18617
-54936.75,-251.13562,-197.76122,94.23886,-39.61689,109.62471,-44.132927,16.44217,-1.6688118,-12.093544,77.00267
303605.62,65.77789,-12.477112,-89.48294,61.43895,-62.945923,34.77633,36.851532,18.75298,-8.130383,71.63819
136736.25,155.87665,93.49191,-66.242676,68.23869,-71.25745,40.048958,9.100899,11.697262,7.199085,67.75634
58561.688,-175.96127,-144.4896,50.573395,-13.31736,25.920181,-21.752037,14.370438,4.3435555,-18.71719,75.57717
-80446.06,-10.427185,7.2481995,-55.423523,3.3816376,-11.434021,-13.902725,-14.300964,-8.629021,12.760815,68.93744
-83208.44,-266.544,-216.32498,52.631073,-61.018692,37.311584,-51.6588,-6.873947,-9.987831,0.76815796,77.30527
8022.25,359.3133,171.93942,33.80493,127.676865,29.564606,51.006386,17.33751,6.185772,-3.3026695,64.24293
355791.3,420.3045,173.75247,-101.20526,190.89775,-11.930847,98.9293,59.54825,27.240627,-18.180065,64.450455
-140143.4,-233.43036,-199.21225,144.92227,-28.855988,75.17818,-37.52713,4.203659,-1.2660484,-11.002682,76.69558
-322765.88,-395.7442,-276.14203,117.611176,-90.21121,-6.245224,-76.88828,-44.771156,-23.694397,11.631073,80.07969
-87674.5,-123.779816,-103.10016,30.486267,-35.879135,-31.311508,-23.521324,-14.549881,-6.1782265,16.73796,71.935074
-318769.6,-373.91605,-259.62958,154.02371,-81.35954,71.73595,-74.02225,-36.16977,-22.807304,2.6181526,78.88719
190490.94,268.472,83.094055,-88.82968,108.68982,-36.885696,54.186302,29.662888,14.854877,-6.1871986,66.291916
442501.75,74.384705,27.617401,-190.72473,46.397537,-95.79364,31.835442,35.517395,19.011768,-7.121052,70.192276
8221.625,-164.66083,-157.0592,69.002594,-14.212387,27.677216,-25.237007,10.6150055,2.4379082,-14.964027,75.68015
-406391.62,-266.2531,38.75766,-72.46884,-51.75856,-153.8198,-47.84274,-75.74497,-28.709805,35.036095,69.41951
-110225.375,-170.52817,-151.43903,156.23459,-15.667038,78.45967,-32.395844,6.954071,0.34414673,-12.86792,75.64387
-155737.56,28.17273,54.571533,13.900299,35.563828,32.171844,-13.269402,-12.544937,-6.7816315,3.9342537,70.33559
96463.19,-54.711548,6.424286,-65.31705,-15.181076,-42.120728,-10.085182,-6.094589,-3.444851,10.363201,70.318756
239330.25,118.463135,-55.333893,28.154388,40.150528,115.96779,7.75795,51.031647,13.83041,-21.326902,70.51708
-342396.8,-269.37195,-89.40759,91.30118,-43.94387,-16.521347,-53.188812,-47.892906,-19.79604,18.473991,75.27821
145920.88,75.11401,-0.43832397,-153.5853,28.277985,-82.0147,16.561264,8.475555,4.5385704,9.011929,69.42267
-252808.97,-275.5656,-34.950348,-106.554565,-55.48005,-141.57263,-49.18666,-58.933067,-21.282505,29.450142,73.40905
373936.5,182.37238,192.26352,-207.2214,97.36502,-98.580345,51.13987,22.092789,15.532375,-5.9280663,66.0527
-453351.38,-321.27252,-27.424591,-13.700439,-63.809372,-153.95503,-57.353622,-78.73572,-29.286196,35.653572,71.20029
38325.125,-166.0065,-141.37701,58.65985,-11.739807,23.952866,-23.783684,15.068619,6.7628136,-13.723972,76.13234
-153605.03,-213.42966,-156.19,78.25961,-29.05767,91.824356,-45.222507,-7.175186,-9.777668,-6.120323,74.80459
104201.56,187.4726,128.69693,-56.22409,122.54013,-46.942307,53.41973,14.673599,13.158474,-4.1467285,67.62795
141285.06,127.01605,13.598572,97.38565,59.866745,127.30531,10.504288,38.451584,9.263943,-19.511515,68.852264
161298.75,-193.57129,-168.61617,1.3079529,-18.31784,48.937897,-19.438515,27.234726,7.804638,-18.007015,74.977135
-322584.1,-345.42413,-197.11021,49.51645,-65.517876,-96.940125,-56.343143,-50.464638,-19.20655,21.783234,77.023575
110377.375,108.14581,117.87894,-82.06055,32.873703,-20.389374,12.606377,-1.2020645,0.057266235,4.8272705,67.02387
-426408.5,-315.94092,-158.65555,105.43027,-75.951004,-63.798233,-63.131115,-62.773964,-27.25671,33.823997,75.150406
53042.188,-39.30127,79.56644,-91.326294,23.2585,-51.843887,-5.4011154,-10.519463,-0.5157356,0.98719025,69.72854
-347943.5,-321.5619,-179.85326,57.31958,-73.94075,-74.759705,-60.320694,-53.757465,-22.669582,29.435402,76.518555
-195920.38,-178.96219,-160.02605,226.87943,-28.675705,137.05107,-42.780342,0.96959686,-8.775623,-9.716957,73.590164
